,name,total,male_share,female_share,gap
1,Casey,176544.3281,0.584286566,0.415713434,0.168573132
2,Riley,154860.6652,0.507639071,0.492360929,0.015278142
3,Jessie,136381.8307,0.477834268,0.522165732,0.044331463
4,Jackie,132928.7887,0.421132602,0.578867398,0.157734796
5,Avery,121797.4195,0.335213073,0.664786927,0.329573854
6,Jaime,109870.1873,0.561792901,0.438207099,0.123585802
7,Peyton,94896.39522,0.433719376,0.566280624,0.132561247
8,Kerry,88963.92625,0.483948844,0.516051156,0.032102313
9,Jody,80400.5192,0.352068032,0.647931968,0.295863937
10,Kendall,79210.87396,0.372366742,0.627633258,0.255266516
11,Payton,64151.63039,0.334357683,0.665642317,0.331284634
12,Skyler,53486.39042,0.646053061,0.353946939,0.292106122
13,Frankie,51288.06811,0.623671255,0.376328745,0.247342511
14,Pat,44781.60237,0.369034385,0.630965615,0.261931231
15,Quinn,41920.94006,0.635741932,0.364258068,0.271483864
16,Harley,41237.56574,0.571701752,0.428298248,0.143403504
17,Reese,36360.52061,0.361910289,0.638089711,0.276179423
18,Robbie,32636.04765,0.553156939,0.446843061,0.106313878
19,Tommie,29528.79382,0.66443775,0.33556225,0.3288755
20,Justice,27350.56457,0.528194956,0.471805044,0.056389912
21,Kris,24955.81134,0.498626098,0.501373902,0.002747803
22,Carey,24790.09705,0.52322576,0.47677424,0.046451521
23,Emerson,24167.15436,0.52552892,0.47447108,0.051057839
24,Blair,23160.1011,0.490256307,0.509743693,0.019487385
25,Amari,22296.16137,0.515448767,0.484551233,0.030897534
26,Elisha,22184.55937,0.423351873,0.576648127,0.153296254
27,Sage,21336.06228,0.367309798,0.632690202,0.265380404
28,Emery,18844.11888,0.486775536,0.513224464,0.026448927
29,Stevie,18665.21912,0.574872102,0.425127898,0.149744203
30,Rowan,18367.42046,0.593396902,0.406603098,0.186793804
31,Ollie,17889.75034,0.339155503,0.660844497,0.321688994
32,Shea,16768.89188,0.413302426,0.586697574,0.173395149
33,Jaylin,15093.19204,0.572151392,0.427848608,0.144302784
34,Phoenix,14841.36788,0.610618413,0.389381587,0.221236825
35,Charley,12546.26578,0.609578019,0.390421981,0.219156038
36,Armani,12541.66776,0.559799828,0.440200172,0.119599656
37,Devyn,12515.02307,0.462939633,0.537060367,0.074120735
38,Ivory,11908.58071,0.453604125,0.546395875,0.092791751
39,Kendal,11841.40348,0.338384465,0.661615535,0.32323107
40,Baby,11132.85575,0.517252291,0.482747709,0.034504582
41,Mckinley,10972.53341,0.479261601,0.520738399,0.041476799
42,Finley,10194.61887,0.423588367,0.576411633,0.152823265
43,Milan,9971.955937,0.54262464,0.45737536,0.085249281
44,Tory,9837.844335,0.642178763,0.357821237,0.284357525
45,Shay,9444.894035,0.413142274,0.586857726,0.173715452
46,Shiloh,8999.08523,0.334421398,0.665578602,0.331157205
47,Lavern,8776.346296,0.510623226,0.489376774,0.021246453
48,Sky,8386.640072,0.350032134,0.649967866,0.299935731
49,Reilly,8300.824693,0.446285455,0.553714545,0.107429089
50,Leighton,8281.601797,0.60614871,0.39385129,0.21229742
51,Santana,7922.713789,0.438905002,0.561094998,0.122189995
52,Arden,7773.14736,0.476927102,0.523072898,0.046145795
53,Campbell,7728.956865,0.430619168,0.569380832,0.138761665
54,Channing,7626.335577,0.624902632,0.375097368,0.249805264
55,Kamari,7584.893909,0.632721126,0.367278874,0.265442252
56,Alva,7496.35069,0.472639067,0.527360933,0.054721866
57,Clair,7148.894728,0.585739932,0.414260068,0.171479863
58,Lavon,7107.834786,0.488046517,0.511953483,0.023906965
59,Kenyatta,7063.611274,0.418089848,0.581910152,0.163820303
60,Britt,6852.95455,0.594512279,0.405487721,0.189024558
61,Vernell,6729.462903,0.352433686,0.647566314,0.295132628
62,Michal,6558.698679,0.490950488,0.509049512,0.018099025
63,Austyn,6228.961465,0.662011679,0.337988321,0.324023358
64,Rian,6139.851241,0.593677306,0.406322694,0.187354613
65,Dominque,6101.13501,0.375118136,0.624881864,0.249763728
66,Remy,6094.667878,0.570592843,0.429407157,0.141185686
67,Jammie,6013.444775,0.364047292,0.635952708,0.271905416
68,Ricki,5847.272146,0.339712787,0.660287213,0.320574427
69,Jordin,5770.788278,0.347259359,0.652740641,0.305481282
70,Trinidad,5747.944235,0.592455661,0.407544339,0.184911322
71,Ryley,5685.538724,0.560735154,0.439264846,0.121470309
72,Carrol,5513.606968,0.452356396,0.547643604,0.095287209
73,Landry,5449.51046,0.555815648,0.444184352,0.111631296
74,Lorin,5428.15538,0.545362467,0.454637533,0.090724935
75,Yael,5232.374916,0.449224824,0.550775176,0.101550352
76,Codi,4805.328209,0.368184021,0.631815979,0.263631959
77,Sloan,4796.882097,0.367115168,0.632884832,0.265769663
78,Jael,4472.71492,0.384048137,0.615951863,0.231903725
79,Kodi,4428.704313,0.49129382,0.50870618,0.01741236
80,Azariah,4420.560847,0.370263313,0.629736687,0.259473374
81,Dakotah,4388.852023,0.625606776,0.374393224,0.251213552
82,Lorenza,4249.273719,0.543574995,0.456425005,0.08714999
83,Artie,4230.139897,0.591900259,0.408099741,0.183800517
84,Maxie,4123.46784,0.599424271,0.400575729,0.198848541
85,Torey,4058.588974,0.661885136,0.338114864,0.323770272
86,Tai,4017.916297,0.597251797,0.402748203,0.194503594
87,Kalani,4012.316123,0.411020884,0.588979116,0.177958232
88,Codie,3998.816987,0.608712507,0.391287493,0.217425014
89,Storm,3960.537446,0.641435752,0.358564248,0.282871505
90,Jaedyn,3913.076884,0.414437084,0.585562916,0.171125833
91,Merritt,3843.56067,0.658423283,0.341576717,0.316846566
92,Allyn,3801.332806,0.570772524,0.429227476,0.141545047
93,Jourdan,3781.556602,0.427814783,0.572185217,0.144370434
94,Yuri,3774.699243,0.389429947,0.610570053,0.221140105
95,Ellery,3738.814883,0.397658597,0.602341403,0.204682806
96,Oakley,3728.798329,0.641944394,0.358055606,0.283888789
